I0205 11:33:55.719401       1 log.go:244] FLAG: --add-dir-header="false"
I0205 11:33:55.719425       1 log.go:244] FLAG: --alsologtostderr="false"
I0205 11:33:55.719428       1 log.go:244] FLAG: --baseURL="https://api.appscode.com"
I0205 11:33:55.719430       1 log.go:244] FLAG: --ca-file=""
I0205 11:33:55.719432       1 log.go:244] FLAG: --cache-dir="/tmp/licenses"
I0205 11:33:55.719434       1 log.go:244] FLAG: --component-namespace=""
I0205 11:33:55.719438       1 log.go:244] FLAG: --enable-leader-election="false"
I0205 11:33:55.719441       1 log.go:244] FLAG: --help="false"
I0205 11:33:55.719443       1 log.go:244] FLAG: --insecure-skip-tls-verify="false"
I0205 11:33:55.719447       1 log.go:244] FLAG: --kubeconfig=""
I0205 11:33:55.719451       1 log.go:244] FLAG: --log-backtrace-at=":0"
I0205 11:33:55.719454       1 log.go:244] FLAG: --log-dir=""
I0205 11:33:55.719457       1 log.go:244] FLAG: --log-file=""
I0205 11:33:55.719460       1 log.go:244] FLAG: --log-file-max-size="1800"
I0205 11:33:55.719464       1 log.go:244] FLAG: --log-flush-frequency="5s"
I0205 11:33:55.719467       1 log.go:244] FLAG: --logtostderr="true"
I0205 11:33:55.719470       1 log.go:244] FLAG: --one-output="false"
I0205 11:33:55.719473       1 log.go:244] FLAG: --registryFQDN="ghcr.io"
I0205 11:33:55.719476       1 log.go:244] FLAG: --skip-headers="false"
I0205 11:33:55.719480       1 log.go:244] FLAG: --skip-log-headers="false"
I0205 11:33:55.719483       1 log.go:244] FLAG: --stderrthreshold="2"
I0205 11:33:55.719487       1 log.go:244] FLAG: --token="***REDACTED***"
I0205 11:33:55.719492       1 log.go:244] FLAG: --use-kubeapiserver-fqdn-for-aks="true"
I0205 11:33:55.719501       1 log.go:244] FLAG: --v="0"
I0205 11:33:55.719504       1 log.go:244] FLAG: --vmodule=""
W0205 11:33:55.720227       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0205 11:33:55.953326       1 serving.go:381] Generated self-signed cert (/tmp/serving-cert2763146334/tls.crt, /tmp/serving-cert2763146334/tls.key)
W0205 11:33:56.480615       1 authorization.go:59] Authorization is disabled
W0205 11:33:56.480736       1 authentication.go:52] Authentication is disabled
I0205 11:33:56.484732       1 secure_serving.go:211] Serving securely on [::]:8443
I0205 11:33:56.484814       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/tmp/serving-cert2763146334/tls.crt::/tmp/serving-cert2763146334/tls.key"
I0205 11:33:56.485236       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0205 11:33:56.564299       1 server.go:208] "Starting metrics server" logger="controller-runtime.metrics"
I0205 11:33:56.564564       1 server.go:247] "Serving metrics server" logger="controller-runtime.metrics" bindAddress=":8080" secure=false
I0205 11:33:56.566787       1 controller.go:353] "Starting EventSource" controller="managedcluster" controllerGroup="cluster.open-cluster-management.io" controllerKind="ManagedCluster" source="kind source: *v1.ManagedCluster"
I0205 11:33:56.642351       1 base_controller.go:36] "Waiting for caches to sync"
I0205 11:33:56.642393       1 base_controller.go:36] "Waiting for caches to sync"
I0205 11:33:56.642404       1 base_controller.go:36] "Waiting for caches to sync"
I0205 11:33:56.642416       1 base_controller.go:36] "Waiting for caches to sync"
I0205 11:33:56.644811       1 base_controller.go:36] "Waiting for caches to sync"
I0205 11:33:56.746093       1 base_controller.go:42] "Caches are synced"
I0205 11:33:56.746221       1 base_controller.go:83] "Starting worker of controller ..." logger="addon-deploy-controller" numberOfWorkers=1
I0205 11:33:56.747076       1 base_controller.go:42] "Caches are synced"
I0205 11:33:56.747090       1 base_controller.go:42] "Caches are synced"
I0205 11:33:56.748280       1 base_controller.go:83] "Starting worker of controller ..." logger="cma-managed-by-controller" numberOfWorkers=1
I0205 11:33:56.747099       1 base_controller.go:42] "Caches are synced"
I0205 11:33:56.748335       1 base_controller.go:83] "Starting worker of controller ..." logger="CSRApprovingController" numberOfWorkers=1
I0205 11:33:56.746146       1 base_controller.go:42] "Caches are synced"
I0205 11:33:56.748351       1 base_controller.go:83] "Starting worker of controller ..." logger="CSRSignController" numberOfWorkers=1
I0205 11:33:56.748405       1 base_controller.go:83] "Starting worker of controller ..." logger="addon-registration-controller" numberOfWorkers=1
I0205 11:33:56.946613       1 controller.go:286] "Starting Controller" controller="managedcluster" controllerGroup="cluster.open-cluster-management.io" controllerKind="ManagedCluster"
I0205 11:33:56.947386       1 controller.go:289] "Starting workers" controller="managedcluster" controllerGroup="cluster.open-cluster-management.io" controllerKind="ManagedCluster" worker count=1
I0205 11:33:56.947539       1 license_acquirer.go:116] "refreshing license" clusterName="real-spoke1" clusterUID="315b081b-588a-4fb3-ae96-7812f9c8ac3c"
E0205 11:33:57.126841       1 base_controller.go:161] "controller failed to sync" err="Internal error occurred: failed calling webhook \"manifestworkvalidators.admission.work.open-cluster-management.io\": failed to call webhook: Post \"https://cluster-manager-work-webhook.open-cluster-management-hub.svc:9443/validate-work-open-cluster-management-io-v1-manifestwork?timeout=10s\": no endpoints available for service \"cluster-manager-work-webhook\"" key="real-spoke1/license-proxyserver" error="Internal error occurred: failed calling webhook \"manifestworkvalidators.admission.work.open-cluster-management.io\": failed to call webhook: Post \"https://cluster-manager-work-webhook.open-cluster-management-hub.svc:9443/validate-work-open-cluster-management-io-v1-manifestwork?timeout=10s\": no endpoints available for service \"cluster-manager-work-webhook\""
